"","id","name","price","rating","review_count","city","state","zip_code","latitude","longitude"
"3015","sugar-house-distillery-salt-lake-city","Sugar House Distillery","$$",5,10,"Salt Lake City","UT","84115",40.72293472,-111.8959351
"3016","floyds-pub-americus","Floyd's Pub","$$$",3.5,7,"Americus","GA","31709",32.07230187,-84.23351884
"3017","daves-brew-farm-wilson","Dave's Brew Farm","$",5,8,"Wilson","WI","54027",44.97195,-92.17346
"3018","gamle-ode-aquavit-new-richmond","Gamle Ode Aquavit","$$",4,1,"New Richmond","WI","54017",45.103436,-92.549652
"3019","45th-parallel-distillery-new-richmond","45th Parallel Distillery","$$",5,18,"New Richmond","WI","54017",45.10343933,-92.5496521
"3020","thunderhead-sports-bar-and-grill-ankeny","Thunderhead Sports Bar & Grill","$$",3.5,29,"Ankeny","IA","50023",41.70234332,-93.61815038
"3021","newburyport-brewing-company-newburyport","Newburyport Brewing Company","$",4,25,"Newburyport","MA","01950",42.804509,-70.886544
"3022","riverwalk-brewing-company-newburyport-2","RiverWalk Brewing Company","$",5,9,"Newburyport","MA","01950",42.806403,-70.881907
"3023","smuttynose-brewing-company-hampton-2","Smuttynose Brewing Company","$",4.5,78,"Hampton","NH","03842",42.945538,-70.8546306
"3024","merrimac-brewing-co-west-newbury","Merrimac Brewing Co","$$",5,2,"West Newbury","MA","01985",42.79520407,-70.99510677
"3025","throwback-brewery-north-hampton","Throwback Brewery","$$",4,73,"North Hampton","NH","03862",42.980091,-70.835326
"3026","four-pines-brewing-company-hampton","Four Pines Brewing Company",NA,5,7,"Hampton","NH","03842",42.95244544,-70.83176719
"3027","neighborhood-beer-exeter","Neighborhood Beer","$$$",4.5,7,"Exeter","NH","03833",42.99363,-70.97232
"3028","ipswich-ale-brewers-table-ipswich","Ipswich Ale Brewer's Table","$$",3.5,72,"Ipswich","MA","01938",42.681179,-70.841489
"3029","cape-ann-brewing-company-gloucester","Cape Ann Brewing Company","$$",3.5,218,"Gloucester","MA","01930",42.6112809,-70.6651786
"3030","earth-eagle-brewings-portsmouth","Earth Eagle Brewings","$$",4.5,131,"Portsmouth","NH","03801",43.07906057,-70.75953588
"3031","the-deck-salisbury","The Deck","$$",3.5,83,"Salisbury","MA","01952",42.81739146,-70.87012457
"3032","tributary-brewing-company-kittery","Tributary Brewing Company","$",5,26,"Kittery","ME","03904",43.09021363,-70.73630739
"3033","the-tap-brewing-company-haverhill","The Tap Brewing Company","$$",3.5,175,"Haverhill","MA","01832",42.77268,-71.08521
"3034","barking-dog-ale-house-haverhill-2","Barking Dog Ale House","$$",4,135,"Haverhill","MA","01832",42.77324,-71.08479
"3035","deciduous-brewing-company-newmarket","Deciduous Brewing Company","$$",4,10,"Newmarket","NH","03857",43.08116221,-70.93690585
"3036","hayseed-restaurant-hampton","Hayseed Restaurant","$$",3.5,96,"Hampton","NH","03842",42.94556,-70.85465
"3037","ten-ninety-brewing-company-glenview","Ten Ninety Brewing Company","$$",3.5,37,"Glenview","IL","60025",42.07317723,-87.79873875
"3038","lake-effect-brewing-company-chicago","Lake Effect Brewing Company","$",5,16,"Chicago","IL","60641",41.9607033,-87.7463148
"3039","sketchbook-brewing-company-evanston-3","Sketchbook Brewing Company","$$",4.5,37,"Evanston","IL","60202",42.0329433,-87.6788111
"3040","hofbrÌ_uhaus-chicago-rosemont-3","HofbrÌ_uhaus Chicago","$$",3,661,"Rosemont","IL","60018",41.9787277,-87.8683148
"3041","temperance-beer-evanston-10","Temperance Beer","$$",4.5,106,"Evanston","IL","60202",42.04004403,-87.70201461
"3042","old-irving-brewing-chicago","Old Irving Brewing","$$",4,157,"Chicago","IL","60641",41.96068178,-87.73937778
"3043","hopewell-brewing-chicago","Hopewell Brewing","$$",4,82,"Chicago","IL","60647",41.93123719,-87.71145511
"3044","exit-strategy-brewing-co-forest-park-2","Exit Strategy Brewing Co","$$",4,140,"Forest Park","IL","60130",41.879132,-87.817123
"3045","dovetail-brewery-chicago","Dovetail Brewery","$",4.5,56,"Chicago","IL","60613",41.9561649,-87.674465
"3046","off-color-brewing-chicago","Off Color Brewing","$",4.5,10,"Chicago","IL","60647",41.918873,-87.7251922
"3047","empirical-brewery-chicago","Empirical Brewery","$$",4.5,59,"Chicago","IL","60640",41.9759751,-87.6750917
"3048","oak-park-brewing-company-oak-park","Oak Park Brewing Company","$$",3,50,"Oak Park","IL","60302",41.8858562,-87.7948091
"3049","begyle-brewing-chicago","Begyle Brewing","$",4.5,124,"Chicago","IL","60613",41.955412,-87.674396
"3050","berkshire-brewing-company-south-deerfield","Berkshire Brewing Company","$$",5,25,"South Deerfield","MA","01373",42.4773097,-72.6078667
"3051","brew-practitioners-brewery-and-taproom-florence","Brew Practitioners Brewery & Taproom","$$",3.5,10,"Florence","MA","01062",42.3347985,-72.6687964
"3052","hangar-pub-and-grill-amherst-2","Hangar Pub & Grill","$$",4,47,"Amherst","MA","01002",42.3734365,-72.5326678
