id,_has_fetched,abv,brewed_at,brewery,calories,description,ibu,img_url,mean_rating,name,num_ratings,overall_rating,retired,seasonal,style,style_rating,style_url,tags,url,weighted_avg
1078,TRUE,4.5,,Farmer Jims,135,"A clear, medium perry, made with real perry pears! Mellow and delicately flavoured.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_267805.jpg",3.36,Farmer Jims Farmyard Perry,10,57,FALSE,,Perry,94,/beerstyles/perry/107/,[],/beer/farmer-jims-farmyard-perry/267805/,3.24
2161,TRUE,7.6,,Pihtla ??llek????k,228,??llemeister Arvet V??lin valmistama vaalea kodu??lu ohra- ja karamellimaltaasta.,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_54449.jpg",,Pihtla ??lu,84,55,FALSE,,Sahti/Gotlandsdricke/Kodu??lu,50,/beerstyles/sahti-gotlandsdricke-koduolu/116/,"[kodu??lu, sahti, juniper]",/beer/pihtla-olu/54449/,3.24
2163,TRUE,5.8,,Scratch Brewing Company,174,"Dark ale brewed with cedar branches from our property and locally grown cherries, blackberries, and elderberries, and aged in norton barrels from hickory ridge vineyard in pomona.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_418312.jpg",3.33,Scratch Barrel-Aged Sahti,13,57,FALSE,,Sahti/Gotlandsdricke/Kodu??lu,51,/beerstyles/sahti-gotlandsdricke-koduolu/116/,[],/beer/scratch-barrel-aged-sahti/418312/,3.24
2608,TRUE,5.5,,Paulaner Brauerei (Sch??rghuber),165,"Kristall clear and bubbly, like tickle-your-nose bubbly.
Slight bouquet of yeast.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_7370.jpg",,Hacker-Pschorr Kristall Weisse,62,59,FALSE,,German Kristallweizen,98,/beerstyles/german-kristallweizen/82/,[],/beer/hacker-pschorr-kristall-weisse/7370/,3.24
2763,TRUE,6.3,,Minipivovar Kon????ek,189,Polotmav?? kvasnicov?? 14??.,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_129562.jpg",3.29,Kon????ek Gro????k,23,56,FALSE,,Polotmav??,94,/beerstyles/polotmavy/115/,"[kvasnicov??, 1001 beers you must taste before you die]",/beer/koni269ek-grosak/129562/,3.24
2765,TRUE,4.5,,Jihom??stsk?? pivovar s.r.o,135,"Spodn?? kva??en?? pivo vyv????en?? ho??ko-sladk?? chuti s lehkou p????chut?? pra??en??ho sladu a ??ist?? jantarov?? barvy. Pevn??, smetanov?? p??n?? a zakulacen?? chu?? je charakteristick?? pro tento druh piva. 11.6??",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_127970.jpg",3.33,Jihom????t??an Polotmav?? Le????k 11??,12,59,FALSE,,Polotmav??,92,/beerstyles/polotmavy/115/,[],/beer/jihom283stan-polotmavy-lezak-11o/127970/,3.24
3944,TRUE,12.6,,Tatsuuma-Honke Brewing Co.,378,???????????????The unique original sake with natural Japanese Plum extract added. Sediment does not affect its quality. 300ml bottles,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_105057.jpg",3.33,Hana-Kohaku Plum Sake,13,59,FALSE,,Sak?? - Infused,96,/beerstyles/sake--infused/94/,[plum],/beer/hana-kohaku-plum-sake/105057/,3.24
945,TRUE,5.4,,Baird Brewing Co.,162,"This original amber ale is inspired by the ""Steam"" style of beer. Whereas a ""Steam"" is a lager beer fermented at an elevated ale-type temperature, Red Rose is an ale fermented at a lower lager-type temperature. Like a ""Steam,"" Red Rose combines a crisp lager refreshingness with a robust ale fruitiness. A lovely citrus-pine hop character is present from start to finish.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_29715.jpg",,Baird Red Rose Amber Ale,207,54,FALSE,,California Common,87,/beerstyles/california-common/42/,"[sugar, bottle conditioned]",/beer/baird-red-rose-amber-ale/29715/,3.23
1077,TRUE,6,,Barbourne Cider,180,,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_264615.jpg",3.32,Barbourne Painted Lady S/V Perry (Draught),13,57,FALSE,,Perry,94,/beerstyles/perry/107/,[],/beer/barbourne-painted-lady-s-v-perry-draught/264615/,3.23
1079,TRUE,5,,Double Trouble Brewing Co.,150,"Our refreshing new cider is proof that good things come in pears. Grow a Pear is as crisp as it is rich. Crafted from 100 per cent Ontario pears ?? not from concentrate. It's fantastic flavour pairs perfectly with appetizers, cheeses, bbq'd meats and grilled vegetables. So why not Grow a Pear and enjoy a real cider for a change?",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_366273.jpg",3.34,Double Trouble Grow A Pear,11,55,FALSE,,Perry,94,/beerstyles/perry/107/,[],/beer/double-trouble-grow-a-pear/366273/,3.23
1607,TRUE,15.5,,"Dewazakura Shuzo Co., Ltd.",465,"Nihonshu-do (Sake Meter Value): +5 (semi-dry); Seimaibuai: 50% (50% of grain polished away); Acidity: 1.2; Rice: Miyama-Nishiki,Yukigesyo; Yeast: Ogawa.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_31439.jpg",3.34,Dewazakura (Green Ridge) Ginjo Sake,12,64,FALSE,,Sak?? - Ginjo,89,/beerstyles/sake--ginjo/86/,[],/beer/dewazakura-green-ridge-ginjo-sake/31439/,3.23
1608,TRUE,15,,"Madonoume Co., Ltd.",450,,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_39950.jpg",3.3,Madonoume Hanasaika Junmai Ginjo Sake,11,64,FALSE,,Sak?? - Ginjo,81,/beerstyles/sake--ginjo/86/,[],/beer/madonoume-hanasaika-junmai-ginjo-sake/39950/,3.23
2519,TRUE,2.5,,Croucher Brewing,75,"Lowrider is a very highly hopped yet low-alcohol IPA style beer. We decided it was time to buck the trend of stronger, high alcohol IPA's and IIPA's.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_153703.jpg",3.31,Croucher Lowrider,16,55,FALSE,,Low Alcohol,99,/beerstyles/low-alcohol/75/,[],/beer/croucher-lowrider/153703/,3.23
2766,TRUE,5,,Pivovar Matu??ka,150,Brewed for Saint Martin's Day.,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_114217.jpg",3.35,Matu??ka Svatomartinsk?? Polotmav?? Speci??l 15??,10,56,FALSE,Autumn,Polotmav??,93,/beerstyles/polotmavy/115/,"[speci??ln??, polotmav?? speci??l, 15??]",/beer/matuska-svatomartinsky-polotmavy-special-15o/114217/,3.23
2767,TRUE,5,,Pivovar U T???? R??????,150,,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_176592.jpg",3.27,U T???? R?????? Polotmav?? Le????k,30,61,FALSE,,Polotmav??,92,/beerstyles/polotmavy/115/,[],/beer/u-t345i-r367zi-polotmavy-lezak/176592/,3.23
2768,TRUE,4.3,,Minipivovar Loket,129,,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_70522.jpg",3.52,Svaty Florian Polotmav?? 11??,10,74,FALSE,,Polotmav??,97,/beerstyles/polotmavy/115/,[11??],/beer/svaty-florian-polotmave-11o/70522/,3.23
2772,TRUE,5,,??emesln?? pivovar CLOCK,150,"Temn?? rud?? barva, hust?? b????ov?? p??na. Aroma karamelov??ch slad?? a ??ateck??ch chmel??. Vy?????? ????z, vysok?? pitelnost a zaj??mav?? snouben?? chuti tmav??ch slad?? a vy?????? ho??kosti.",26,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_278477.jpg",3.26,Clock Maid  12?? Polotmav?? Le????k,37,53,FALSE,,Polotmav??,91,/beerstyles/polotmavy/115/,[],/beer/clock-maid-12o-polotmavy-lezak/278477/,3.23
2958,TRUE,8.5,,Jackie O??s Pub & Brewery,255,"Introducing Malt Rickuor, Ricky's big boozy brother! At 8.5%, this malt liquor bev is the closest thing we have to a 40oz.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_352098.jpg",3.35,Jackie O??s Malt Rickuor,10,62,FALSE,,Malt Liquor,99,/beerstyles/malt-liquor/8/,[],/beer/jackie-os-malt-rickuor/352098/,3.23
2963,TRUE,9.75,,Tired Hands Brewing Company,292,"Weird malt liquor brewed in collaboration with Wiki for the show tonight at Ardmore Music Hall. Brewed with loads of malt and local PA wildflower honey and then conditioned on a heap of hibiscus flowers. Boozy with a beautiful reddish purple hue. Strong notes of dried stone fruits, peach brandy, strawberry patch, and a hint of red licorice.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_393472.jpg",3.35,Tired Hands Leppy Coqu??,10,57,FALSE,,Malt Liquor,99,/beerstyles/malt-liquor/8/,[],/beer/tired-hands-leppy-coqui/393472/,3.23
3196,TRUE,4.5,,Griffin Claw Brewing Company,135,An American Premium lager brewed with a classic German lager yeast for a clean crisp flavor. Low malt and hop character makes this a refreshing summer beer. 4.5% abv. 12 IBU.,12,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_229067.jpg",3.33,Griffin Claw Platinum Blonde Lager,12,58,FALSE,,Pale Lager,100,/beerstyles/pale-lager/3/,[],/beer/griffin-claw-platinum-blonde-lager/229067/,3.23
601,TRUE,15,,Kiuchi Brewery (Hitachino),450,Tarusake was matured slowly in Akita cedar barrels producing settle aromas and flavors of cedar.,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_30322.jpg",,Kikusakari Tarusake,50,53,FALSE,,Sak?? - Taru,44,/beerstyles/sake--taru/95/,[cedar],/beer/kikusakari-tarusake/30322/,3.22
946,TRUE,5.3,,Titletown Brewing Company,159,"This beer is brewed using a lager yeast which is then fermented at ale temperatures. That is why it is considered a hybrid beer. This process provides a crsip and clean flavor but without the fruity esters of an ale. 
Caramel and Pale Ale malts with Amarillo Hops were used to create this somewhat hoppy, copper colored ale.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_22589.jpg",3.51,Titletown Steam Engine Common,10,72,FALSE,Winter,California Common,85,/beerstyles/california-common/42/,[amarillo],/beer/titletown-steam-engine-common/22589/,3.22
947,TRUE,5,,Three Floyds Brewing Company,150,Brewers of Indiana Guild Beer 2005,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_50408.jpg",3.35,Three Floyds Kalifornia Uncommon,23,71,FALSE,Summer,California Common,88,/beerstyles/california-common/42/,[],/beer/three-floyds-kalifornia-uncommon/50408/,3.22
948,TRUE,4.9,,Pizza Boy Brewing,147,,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_401921.jpg",3.33,Pizza Boy Uncommonly Common,10,54,FALSE,,California Common,84,/beerstyles/california-common/42/,[],/beer/pizza-boy-uncommonly-common/401921/,3.22
949,TRUE,6,,Cismontane Brewing,180,,45,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_162382.jpg",3.46,Cismontane Chardonnay Barrel Aged The Citizen,12,71,FALSE,,California Common,83,/beerstyles/california-common/42/,"[wine barrel, white wine barrel, barrel aged]",/beer/cismontane-chardonnay-barrel-aged-the-citizen/162382/,3.22
950,TRUE,5.5,Real Ale Brewers?? Cut California Common,Toppling Goliath,165,"Our flagship beer was named after our founder's grandmother, Dorothy. Easy drinking light, in color and in body, this steam lager is meant to be enjoyed any time of day. We usually have ours with breakfast.",11,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_128151.jpg",,Toppling Goliath Dorothy??s New World Lager,283,51,FALSE,,California Common,83,/beerstyles/california-common/42/,[],/beer/toppling-goliath-dorothys-new-world-lager/128151/,3.22
952,TRUE,5.8,,Kaiser Br??u,174,"In der ??Gold-Rush-Zeit?? des sp??ten 19. Jahrhunderts in Kalifornien weit verbreitet und ??quite common??, gilt das California Common als eine traditionelle amerikanische Biersorte. Heutzutage ist es selbst in den USA eine Rarit??t und in Europa fast unbekannt. Die Besonderheit an dem Bier ist die ??warme G??rf??hrung?? bei h??heren Temperaturen unter dem Einsatz  einer besonderen Hefe. Die Kombination diverser Spezialmalze harmoniert perfekt mit den fruchtigen Aromen des mittels Kalthopfung eingesetzten amerikanischen Aromahopfens ??Calypso?? und endet in einem trockenen Finish.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_459238.jpg",3.31,Veldensteiner Bierwerkstatt California Common,12,51,FALSE,Special,California Common,83,/beerstyles/california-common/42/,"[calypso, dry hopped]",/beer/veldensteiner-bierwerkstatt-california-common/459238/,3.22
1609,TRUE,16,,Shirataki Shuzo Co.,480,Seimaibuai: 55%,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_43807.jpg",3.3,Shirataki Jozen Mizunogotoshi (Pure Flower) Junmai Ginjo Sake,15,52,FALSE,,Sak?? - Ginjo,74,/beerstyles/sake--ginjo/86/,[],/beer/shirataki-jozen-mizunogotoshi-pure-flower-junmai-ginjo-sake/43807/,3.22
2162,TRUE,7.9,Browar na Jurze,Browar PINTA,237,"Sahti - 19,1?? 
 
Thick mash infiltrates through a layer of fresh-cut juniper branches. Filtrate is not boiled but immediately treated with yeast cake. After a dozen of days cloudy, non-aerated and extremely strong, ""great-beer"" can be pour into the mugs with ladle. It will warm you. And this is how Finns ""brew"" their Sahti since long, long time. And this is how PINTA brewed it. Koniec ??wiata (End of the World). Think twice before you buy it. Fermented with baker's yeast in room temperature. 
 
G??sty zacier powoli przes??cza si?? przez warstw?? ??wie??o ??ci??tych ga????zi ja??owca. Filtrat nie jest gotowany, ale od razu szczepiony g??stw?? dro??d??ow??. Po kilkunastu dniach m??tne, nienagazowane i cholernie mocne ??prapiwo?? mo??na chochl?? nalewa?? do kubk??w. Mo??na si?? rozgrza??. Tak Finowie warz?? swoje Sahti od setek lat. Tak Sahti nawarzy??a PINTA. Koniec ??wiata. Zastan??w si?? dwa razy zanim kupisz. Fermentowane z u??yciem dro??d??y piekarskich w temp. pokojowej. 
 
Recipe: Ziemowit Fa??at 
Ingredients: water, Weyermann?? barley malts : pale ale, rye, smoked barley; hops: cones of Lubelski (PL); juniper fruit, juniper branches; baker's yeast. 
Beer is pasteurized and unfiltered. 
Recommended glass: earthenware mug 
Recommended temperature of serving: 11-13??C 
Recommended food to pair with the beer: marinated herrings with rye bread, hare. 
Latest batch: Winter 2016 
Next planned batch: Spring 2017 

Sk??ad: s??ody Weyermann??: pale ale, ??ytni, w??dzony j??czmienny, szyszki chmielu Lubelski (PL), owoce ja??owca, ga????zie ja??owca, dro??d??e piekarskie prasowane.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_191972.jpg",,Pinta Koniec ??wiata,266,51,FALSE,Special,Sahti/Gotlandsdricke/Kodu??lu,46,/beerstyles/sahti-gotlandsdricke-koduolu/116/,"[sahti, lubelski, juniper]",/beer/pinta-koniec-346wiata/191972/,3.22
2164,TRUE,7,,Lapin Voima,210,"Different from the original Kullero Sahti, and also different sahtistyle compared to the Ruissahti they had for a while in 2014.

All current variants of Kullero/Kullervo to be rated under this entry. ABV and amount of juniper may vary.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_333944.jpg",3.29,Lapin Voima Kullero Ruissahti,16,54,FALSE,,Sahti/Gotlandsdricke/Kodu??lu,48,/beerstyles/sahti-gotlandsdricke-koduolu/116/,[],/beer/lapin-voima-kullero-ruissahti/333944/,3.22
2165,TRUE,7.5,,Lammin Sahti,225,"Tummahko, suodattamaton, aito nimisuojatu sahti, jossa mukana ruista ja katajaa.",,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_11063.jpg",,Lammin Sahti,189,51,FALSE,,Sahti/Gotlandsdricke/Kodu??lu,46,/beerstyles/sahti-gotlandsdricke-koduolu/116/,[sahti],/beer/lammin-sahti/11063/,3.22
2245,TRUE,5,,Brouwerij Girardin,150,,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_101482.jpg",,Girardin Dominicus,132,55,FALSE,Special,Lambic Style - Faro,49,/beerstyles/lambic-style--faro/77/,[pediococcus],/beer/girardin-dominicus/101482/,3.22
2609,TRUE,5.4,,Brauerei Bischofshof,162,,,"https://res.cloudinary.com/ratebeer/image/upload/w_120,c_limit/beer_22713.jpg",3.25,Bischofshof Kristall Weizen Hefefrei,33,54,FALSE,,German Kristallweizen,97,/beerstyles/german-kristallweizen/82/,[],/beer/bischofshof-kristall-weizen-hefefrei/22713/,3.22
