"beer_id","date","rating","text","user_location","user_name"
3553,"2017-05-16",4.2,"Tap @ Mikkeller Beer Celebration 2017  
Double Passionfruit Gose. 
Żółty, całkowicie mętny trunek. Gęsty jak krem, lub nektar marchwiowo-brzoskwiniowy.
Wspaniała biała piana.
MARAKUJA NA MAKSA! Genialne! Rewelacyjnie pachnie, wygląda, a jeszcze lepiej smakuje.
Początkowo kwaskowate od marakui, po kilku łykach i ogrzaniu w dłoniach staje się bardziej słodkie. Na ostatniej prostej można wyczuć dosłownie szczyptę soli. Soczystość na najwyższym poziomie.
Gładkie, super pijalne, sesyjne.
Mógłbym takich kilka pod rząd wypić.
Jedno z najlepszych jasnych Ale na festiwalu.","Sosnowiec, Poland, POLAND","Biroholik"
3553,"2017-04-29",3.8,"16 ounce can shared at Todds. A big hazy cloudy gose with a ton of passion fruit. This was tart with big juice.","Lexington, Kentucky, USA","drfabulous"
3553,"2017-03-10",3.8,"Shared can. Pours a hazy pale gold with a nice white head. Aroma of citrus and tropical. Taste is passionfruit, mango, lemon, pine, and a touch of salt. Very good.","Lansing, Kansas, USA","RobertDale"
3553,"2017-02-22",4.2,"This is seriously the best thing Ive ever had from Veil, and thats saying a lot.,","St Petersburg, Florida, USA","fluffy"
3553,"2017-01-11",4.3,"Tap at brewery. Pale hazy yellow with decent head. Nice passionfruit smell. Juicy, tart, and salty. Nice.","Sandston, Virginia, USA","tia"
3553,"2017-01-01",4.1,"Pours a hazy yellow from the can with bubbly white head that dissipates to leave light lace. Aroma is huge on the passion fruit tropical notes with a hint of funky sour underneath. Taste is also big on the tropical fruitiness, but there is a more pronounced lactic acidity, a mild funk, and a hint of earthy salt. Much more fruity than a traditional gose, but damn good.","Marietta, Georgia, USA","jbruner"
3553,"2016-12-31",4.0,"Tap @ Mikkeller bar, Aarhus. Yellowish hazy pour with a small head. Tons of passionfruit, juicy mangoes, light salty and pleasantly tart.","Aarhus, DENMARK","bursprak"
3553,"2016-12-31",4.0,"Draft @ Warpigs Brewpub, Copenhagen. Pours a hazy golden color with a small white head. Has a fruity sour tart passion fruit aroma. Fruity sour tart passion fruit flavor. Has a fruity sour tart passion fruit finish.","Malmö, SWEDEN","anders37"
3553,"2016-12-29",4.5,"Really hazy, bright peach color with off-white head. Aroma is amazing. Lots of mushy passionfruit and light yeast notes. Taste follows with lots of passionfruit, tart and natural tasting, like a really high quality fruit juice. Light to medium bodied, really well carbonated. Crisp, refreshing, tart and really fruity.","Timisoara, ROMANIA","ciocanelu"
3553,"2016-12-25",4.1,"Can at home. Nice and hazy dark yellow with a small head. Lots of passionfruit in both aroma and taste. The taste of passionfruit got company from some citrus, salt and lactose. Medium sourness.","SWEDEN","AXL72"
3553,"2016-12-20",4.4,"Tap. Pours hazy light milky orange with a small white head. Aromas of huge passionfruit, citrus, lemony, lactic, light floral, mango. Taste has sweet passionfruit, mango, almost some raspberry-like notes, light grainy, lemon, lactic. Pretty fuckin nice.","Aarhus N, DENMARK","Klimaet"
3553,"2016-12-19",4.0,"Tap. Pours hazy yellow with a white head. Aroma of passion, lactic tartness, salt, tropical notes and citrus. Taste of passion, lactic tartness, yogurt, slight Salty and a nice fresh citrus note as well. Really refreshing!","Aarhus, DENMARK","RasmusOtt"
3553,"2016-12-17",3.9,"December 15, 2016. On tap at Omnipollos Hatt. 
Cloudy yellow with a small dense white head. Aroma is lots of juicy passionfruit, some lemon, minerals, yoghurt, wheat and a herbal touch. 
Tart citric and light lactic, slight salty. Medium bodied, average carbonation. 
Finish is sour with a slightly sharp almost acetic touch, citric and lactic notes. fruity tart passionfruit, light salty and hints of sweet tropical fruits. 
Very nice pungent passionfruit aroma but slightly too sharp finish.","Stockholm, SWEDEN","hackobock"
3553,"2016-12-16",3.6,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */ ""The Veil TTO"", Copenhagen (12/12/2016) - orange coloured pour with white head. Aroma and taste is nice passion fruit hits, some tropical fruit juice, some notes of wheat, touch of salt, straw, light grass, tart tropical fruity close.","Copenhagen, DENMARK","Desverger"
3553,"2016-12-16",3.7,"Tap. Cloydy yellow body with a small white head. Aroma of passion fruit, citrus and wheat.  Slightly sweet flavor that ends up salty and dry. Light to medium bodied, watery to oily texture and soft carbonation. A very nice and crisp Gose. 🌟🌟🌟🌟","Tranbjerg, DENMARK, DENMARK","Habanero"
3553,"2016-12-15",4.1,"Tap at Omnipollos Hatt. Pours hazy yellow with white head. Bright passionfruit aroma with some tart citrus, a bit of yoghurt and mineral. Big passionfruit flavor with citrus, a light salty touch, mineral, grass and hay. Tons of passionfruit in all aspects of this beer. Lovely!","Stockholm, SWEDEN","Nische"
3553,"2016-12-15",3.8,"Draught at Omnipollos Hatt. Hazy orange liquid with medium off-white head. Aroma of passion fruit, lemon, light grain, pineapple juice, red apples, coriander and mineral. Taste is dry and light to medium sour with notes of passion fruit, lemon, light salt, light grain and pineapple. Medium bodied with medium carbonation. Great, delicious passion fruit tonez.","Stockholm, SWEDEN","VsXsV"
3553,"2016-12-15",3.5,"Draught @ Mikkeller Bar, Aarhus. Pours hazy dark yellow with a small white head. Aroma of light sourness, wheat, light salt, rich tart fruity, passionfruit. Flavor is rather sour, wheat, little salt, tart fruit, passionfruit. Medium body, average carbonation, light tart fruity finish. 151216","Hasselager, DENMARK","Camons"
3553,"2016-12-15",3.6,"Tap @ Mikkeller, Aarhus. Small head with short duration. Aroma and taste are rich passion fruit, lemon, malt and hops. Nice sour fruity finish.","Højbjerg, Aarhus, DENMARK","saxo"
3553,"2016-12-15",3.7,"Pours hazy orange with a medium frothy white head. Aromas of passion fruit, citrus, lactose, slight grassy notes. Taste is very fruity and quite sour. Tons of passion fruit here. Mouthfeel is dry and tart with medium carbonation.","Stockholm, SWEDEN, SWEDEN","ansalon"
3553,"2016-12-15",3.5,"Tap @ Mikkeller Aarhus, 4.9%. Unclear golden with tiny off-white head. Aroma is malt, fruit, passionfruit, lime an salt. Flaovur is malt, passionfruit, citrus, lime, salt, spices, citric, little dry, little baking yeast and a little sour,","DENMARK","chrisv10"
3553,"2016-12-15",3.5,"Tap @ Mikkeller, Aarhus. Murky golden with a white head. Aroma is sweet, malty, heavy citrus, passion and tart. Flavor is medium sweet and moderate acidic. Dry and moderate acidic finish. 151216","Beder, Aarhus, DENMARK","Rasmus40"
3553,"2016-12-12",3.2,"From tap. Pours hazy orange witha small to fully gone head. Aroma is overripe tropical fruity. Fatty passionfruit. Citric. Juicy. Medium dry. Citric snd crisp juicy finish. Lingering citric passionfuity far finish.","Copenhagen O, DENMARK","yespr"
3553,"2016-12-12",3.3,"Draft. A hazy golden beer with a beige head. The aroma has notes of lemons, fruits, and straw. The flavor is sour with notes of wheat, lacto, and passion fruit, leading to a very tart finish.","Citizen of the universe, DENMARK","Ungstrup"
3553,"2016-12-12",3.6,"From tap at Warpigs Hazy yellow colour with a white head. Aroma and flavour of malt, salt, hops, fruit and passion fruit.","Albertslund, DENMARK","Borup"
3553,"2016-12-10",3.8,"16 oz can to snifter (shared with the Mrs.). Looks good; a cloudy pineapple with ample carbonation and fine fizzy off-white head. Smells good too; mildly tart, acidic, and wheaty alongside loads of passionfruit. Tastes like it smells, but more wheaty, and with some salt as well Mouthfeel is medium-bodied and pleasantly lactic. Good beer.","Indiana, USA","b3shine"
