"beer_id","date","rating","text","user_location","user_name"
2691,"2017-03-06",3.7,"Thanks to Brian for this treat! Liquide très sombre voire presque noir aux reflets roux et bruns. Une belle tête claire et floconneuse se forme lors du service et demeure en place un temps appréciable. Dominante du côté Barley Wine dans ce blend bien barriqué et dense. Arômes de malts chocolats, de biscuits chocolatés, de pain grillé, de caramel. Des arômes décadents et habituellement réconfortants qui ici me paraissent étonnamment froids et peu réconfortants. Saveurs très serrées de chocolat noir. Texture plutôt sèche qui manque donctuosité et de souplesse. Effervescence adéquate. Beaucoup de malts grillés et de barrique dalcool aux notes épicées. À la longue, un goût ferreux et métallique sinstalle à larrière de ma langue et me gêne. Possiblement que le blend 2 me conviendra davantage. À suivre très prochainement...","Montréal, Quebec, CANADA","yourilevesque"
2691,"2017-01-03",4.3,"A decadent blend of barrels, roasted malts, vanilla, oak and chocolate with s some light coffee notes for good measure. Dark brown pour, strong aroma and flavor. Smoother than blend 2.","Reno, Nevada, USA","slowrunner77"
2691,"2016-12-26",4.0,"500ml bottle from Healthy Spirits. Black and thick with a lasting tan head. Aroma is bourbon, toffee, dark berries, molasses, chocolate. Flavor is mildly sweet, nice bourbon, slightly bitter finish. Feel is fairly hot, but smooth, light carbonation. Good, in the same vein as Bourbon County, even reminiscent of 50/50 Eclipse.","San Francisco, California, USA","nickd717"
2691,"2016-09-24",4.0,"Glass: AleSmith Barrel-Aged Reserve snifter glass 
From: Saint Archer Brewing Company in San Diego, Calif.
Price: $12.99
Purchased: April 24, 2016
Consumed: Sept. 23, 2016
Reviewed as: American Strong Ale
Misc.: Black waxed on neck of bottle; Bottled in Jan. 2016 (educated guess)

Had this at their brewery on tap back in April and picked up a bottle. Wrote on Untappd then that it was, Hot and boozy. If it was bottled in January like I think it was, this should be close to being ready considering I age my stuff in a cabinet and not a cellar. Heres to hopefully a good one.

Poured an almost pitch black color with two fingers of frothy tan head. Very good lacing. Very good retention. (Sight - 4.00)

Smelled bourbon, chocolate, toffee and dark fruit, initially coming in hot, but mellowing out as it went down. Also milk chocolate, oaky notes, vanilla, cocoa nibs, hazelnut, roasty malts and some dark mocha notes. Reminding me slightly of AleSmiths Reforged, but maybe a tad darker. (Smell - 4.50)

Taste wasnt quite as good as the smell. Some more time on this would do wonders. Much darker than I would have thought, getting dark milk chocolate, hazelnut, boozy bourbon, dark cocoa nibs, dark fruits (plum?), oaky notes, vanilla, char wood, roasted toffee, a touch of dark tobacco and chocolate syrup. 12.5 pct. ABV is well hidden. (Taste - 4.00)

Full body. Sticky texture. Average carbonation. Long, warming finish. (Feel - 4.50)

Really liked this. Wouldve liked it more if I would have waited a few more months. (Overall - 4.25)

4.22 94 A-","","User134089"
2691,"2016-09-13",4.1,"Bottle shared by alexsdad06. Pours dark brown color with an average tan head that mostly lasted with good lacing. Moderate to heavy complex roasted malt, caramel, barrel vanilla, bourbon aroma. Medium to heavy body with a smooth texture and flat carbonation. Moderate to heavy dark chocolate, caramel, vanilla and alcohol flavor and finish of long duration. Standout beer.","Cincinnati, Ohio, USA","Tmoney99"
2691,"2016-09-01",4.2,"500 ml bottle shared with Tmoney99 from Nimbleprop. Pours dark brown to black in color with a small beige head. The aroma and flavor have roasted malt, caramel, sweet barrel character, vanilla, bourbon, oak, crazy drinkable, the barrel influences are spot on, chocolate, more caramel, vanilla, very solid beer.","Cincinnati, Ohio, USA","alexsdad06"
2691,"2016-08-20",4.1,"Waxed bottle from Corti Bros. Pours dark brown with a slight dark tan head. Aroma of bourbon, chocolate, dark treacle, wood, darkish fruits and whatever! Full bodied. Flavor is bourbon chocolate forward, then wood and darkish fruits. Mild heat burn. Definitely not dry. Chocolate goes dark and earthy. Its really something.","Woodland, California, USA","bhensonb"
2691,"2016-07-10",3.8,"Bottle share. Deep auburn color with a thin beige head. Notes of chocolate, vanilla, toffee, dark fruits and the barrel fill the aroma swirling sweet and a bit boozy. Tastes sweet with the bourbon barrel and vanilla notes, a bit of heat, and mildly bittersweet in the background.","Meridian, Idaho, USA","jake65"
2691,"2016-06-13",4.3,"Pitch black, medium tan creamy head, nice lacing. Aroma is of caramalt, chocolate, roasted malt, bourbon barrel, some dark fruit. Taste is medium to very sweet chocolate, toffee, brown sugar, roasted malt, some dark fruit, bourbon barrel, medium roasty bitterness, dryish finish, some alcohol with warmth. Full bodied, creamy-syrupy, soft to flat carbonation. Rich, complex, balanced, just enough bourbon. Superb.
(bottle)","Zagreb, CROATIA","kajser27"
2691,"2016-06-10",4.4,"Hugely rich and decadent and a blend that really works. A bit sweet ,a bit of mocha, tons of barrel and bourbon. Almost too much, lots of raisin, fig, vanilla, chocolate and ber-bayn. Damn. Damn.","JAPAN","jonno"
