"beer_id","date","rating","text","user_location","user_name"
2173,"2017-05-28",3.3,"Tap@Ølsnedkeren, Copenhagen (07/04/2017) - red amber pour with a off-white head. Aroma and taste is berry fruity and malty, yeasty notes, hay some floral and herbal accents into the close.","Copenhagen, DENMARK","Desverger"
2173,"2017-03-26",3.4,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */ & Ølsnedkeren, Aarhus. Pours hazy amber with an off-white head. 
Aroma and taste is malt, caramel, berries, yeast. sweet fruit. Medium body. Soft carbonation. Sweet to light bitter finish.","Hammel, DENMARK","Niller"
2173,"2017-03-17",3.0,"Tap @Mig & Ølsnedkeren, Aarhus. Cloudy amber, small white head. Malty, herbal aroma. Some juniper. Sweet, malty flavour, herbal with berries. Slightly dry. Not particularly mind blowing, but its a sahti...","Haderslev, DENMARK","martin00sr"
2173,"2017-01-28",2.4,"Duft svag duft smag malt sød karamel svag kant rosin og finer frisk wftersmag","århus, DENMARK","llkc"
2173,"2017-01-10",3.1,"Draught @ Ølsnedkeren, Griffenfeldsgade 52, DK-2200 Copenhagen, Denmark. [ As Ølsnedkeren Nørrebro Sahti ].Hazy medium yellow amber color with a small, fair lacing, mostly diminishing, off-white head. Aroma is moderate malty, hay, pale malt, berry, juniper - wood - staw, light spicy. Flavor is moderate sweet and light light bitter with a average duration, malt, caramel, berry, herbs, straw - wood - juniper. Body is medium, texture is oily to watery, carbonation is soft to flat. [20161229]
 6-3-6-3-13","VestJylland, DENMARK","fonefan"
2173,"2017-01-05",3.6,"Draught. Frothy White fair mostly deminishing head. Dark yellow colour. Moderate malty and ""hoppy"" aroma. Hops alomst only from juniperberries! Heavy bitter light sweet nice toffe-malty flavor. Not acetic in any way. Long moderate bitter nice finish. Nice well balanced brew.","Randers, DENMARK","HenrikSoegaard"
2173,"2017-01-04",3.4,"Tap @ Mig & Ølsnedkeren. Nice head with good duration. Color is amber. Aroma and taste are caramel, malt, fruits, yeast and hops. Sweet toffee finish.","Højbjerg, Aarhus, DENMARK","saxo"
2173,"2017-01-04",3.2,"Draught @ Mig & Ølsnedkeren. Pours golden with an offwhite head. Aroma of sweet malt, light caramel, herbs, berries, sweet fruit. Flavor is sweet, light bitter, malt, fruit, berries, herbs, juniper. Medium body, average carbonation, sweet and light bitter finish. 040117","Hasselager, DENMARK","Camons"
2173,"2017-01-03",3.2,"Tap @ Mig & Ølsnedkeren. Hazy orange with an off-white head. Aroma is sweet, malty, fruity, yeasty and herbal. Flavor is quite sweet. Sweet finish. 030117","Beder, Aarhus, DENMARK","Rasmus40"
2173,"2017-01-03",3.1,"Tap @ Mig & Ølsnedkeren, 7.3%. Hazy dark amber with small off-white head. Aroma is malt, fruit, caramel, berries and herbs. Flavour is malt, caramel, berries, herbs, little dry, medium sweet and a little bitter.","DENMARK","chrisv10"
2173,"2016-12-19",3.3,"Draft. A hazy amber beer with a lazing beige head. The aroma has notes of Juniper berries and malt. The flavor is sweet with notes of malt, spices, Juniper berries, and straw, leading to a dry finish.","Citizen of the universe, DENMARK","Ungstrup"
2173,"2016-12-19",3.2,"From tap. Hazy orange colour with an off-white head. Aroma and flavour of malt, hops, fruit, spice and bitterness.","Albertslund, DENMARK","Borup"
2173,"2016-12-19",3.1,"From tap. Pours cloudy amber with a small white head. Aroma is berry fruity. Mellow. Metallic and fruity. Dry. Toasted and slight fruity. Mild fruity and slight minerals. Dry amd slight herbal finish.","Copenhagen O, DENMARK","yespr"
2173,"2016-12-17",3.2,"Draught at Ølsnedkeren.
Clear amber colored with a medium sized white head.
Fruity aroma of hay and juniper.
Fruity flavor of caramel, hay and juniper.
Fruity finish","Frederiksberg, DENMARK","joergen"
