"beer_id","date","rating","text","user_location","user_name"
3340,"2017-06-15",3.9,"On tap at the brewery. Pours a hazed golden amber with a medium sized white head. Soft citrus on the nose, light and crisp, a bit of melon. Medium bodied, soft musk and melon. Lightly sweet and a bit of musk and citrus. Very soft bitterness, light and crisp. Lovely stuff.","Poughkeepsie, New York, USA","j12601"
3340,"2016-12-17",3.8,"Draft from notes. Pours a slightly hazy yellow golden color with a small off white head. The aroma and flavor have pale toasted malts, citrus, lemongrass, herbal notes, hints of white grape, yeasty bread, good character for a lower abv beer.","Cincinnati, Ohio, USA","alexsdad06"
3340,"2016-10-30",3.6,"Keg at Beer Run, 5/19/16. Hazy orange, medium creamy tan head, good retention. Aroma of lime, grapefruit zest, pale malt. The taste is dry, zesty lime, pale malt. Light bodied, crisp.","Milwaukee, Wisconsin, USA","Drake"
3340,"2016-08-26",3.8,"On tap at the brewery. Clear straw pour with a white head. Clean with minerally hop notes. Not overwhelming but solid with good balance, body and mouthfeel.","Florida, USA","50belair"
3340,"2016-08-24",3.6,"Draft. Cloudy golden yellow with an average white head. Aroma is bright citrus and a little pine and caramel malts. Taste is grapefruit, orange peel. and light pine grass. Light and quenching.","Denver, Colorado, USA","Thechasm442"
3340,"2016-08-17",3.6,"500ml bottle. Pours a hazed gold with a large and long-lasting white head. The aroma is nice, a mix of grapefruit and lemon lime, a touch melon and vinous bit of breadcrust. It was not initially too complex mostly smelling of ting but then it opened up nicely. Flavor is decent. Bit of medicinal herb, much sweeter than I was anticipating, it again is grapefruit dominant, and a touch dank/minty. Too sweet and not bitter enough for a session ipa but it is god for what it is though the price point was shit, you can buy 6 packs of world class session ipas for a few more bucks than this bottle.","Chicago, Illinois, USA","crossovert"
3340,"2016-08-13",4.2,"Maine beer is good period. Citrus and piney unique session beer.
American hops Amarillo, Citra, Simcoe, Hallertau Blanc and Nelson Sauvin.

---Rated via Beer Buddy for iPhone","Fairfield, Connecticut, USA","Purdyd"
3340,"2016-08-13",3.7,"500ml bottle from Binnys in Highland Park. Cloudy yellowish golden pour with a white head. Orange juice. Other citrus. Light sweet malts. Tasty and solid without being special - likely a consequence of the ABV. Medium bodied, the blend is solid and there is little alcohol presence. Finishes solidly bittersweet. Hits all the marks as the Maine stuff all is. 14","Wisconsin, USA","AWISLguy"
3340,"2016-08-13",4.0,"Bottle: pours cloudy light straw color with a frothy white head, aroma is hoppy and grainy, taste is hoppy with a very dry finish. This has to be one of the best session IPAs I have ever had.","New York, New York, USA","bp"
3340,"2016-07-31",3.8,"Bottle, as pictured. Had a different blurb on the bottle, ""Dedicated to Henry"" or somesuch. Nice beer, very bright, can definitely get the heavy hops, Citra/Simcoe/Nelson. Very flavorful and extremely drinkable given the ABV. Very nice.","Buffalo, New York, USA","pete4999"
