"beer_id","date","rating","text","user_location","user_name"
2391,"2017-06-10",3.9,"Amber colour with lasting head. Intense aroma of piney, resinous hop. Similarly intense flavour. Bitter but with elements of red fruit.","Breda, NETHERLANDS","mike_77"
2391,"2017-06-10",3.5,"Opaque brown beer with a weak head and lots of bubbles.
Smell is resin, grapefruit, some yoghurt, pine. Taste is very dry and crisp. Ash and very bitter, astringent finish.","NETHERLANDS","Bosskie"
2391,"2017-06-07",3.6,"Bottle from drankgigant.nl. Hazy red/amber colour, white creamy foam. Nose of tropical fruit, pine, caramel. Light sweet, bitter finish. Rather lively carbonation.","Oosterzele, BELGIUM","JefVerstraete"
2391,"2017-06-03",3.6,"33 cl. bottle @ home, bought @ Plus Culemborg.
Hazy amber with a big off-white head. Citrus hops, grapefruit, in the aroma. Taste is fairly bitter. Very nice thirst quencher.","Culemborg, NETHERLANDS","thanatosti"
2391,"2017-05-30",3.7,"Bottle at yesprs - Amber pour with off white head. Sweet fruity and malty aroma and taste with notes of caramel and some fruity marmalade shred, toffee, hoppy bitter finish. Solid Amber.","Copenhagen, DENMARK","Desverger"
2391,"2017-05-30",3.1,"Bottled. A hazy amber beer with a lazing yellowish head. The aroma has notes of straw, malt, and caramel. The flavor is sweet with notes of malt, caramel, and hops, leading to a bitter finish.","Citizen of the universe, DENMARK","Ungstrup"
2391,"2017-05-30",3.4,"33 cl. bottle. A hazy dark amber coloured beer with an off-white head. Aroma and flavour of malt, fruit, hops, spice, citrus and with a mild bitter finish.","Albertslund, DENMARK","Borup"
2391,"2017-05-30",3.4,"33 cl bottle. Pours hazy orange with a small tan head. Aroma is grapefruity and light pine hoppy. Solid hoppy. Dry, pine and grapefruity. Bitter, solid hoppy and grapefruity. Dry and bitter finish.","Copenhagen O, DENMARK","yespr"
2391,"2017-05-28",3.6,"Sampled @ Festival der Bierkulturen Köln 2017. Klare hell orange braune Farbe. Geruch ist sehr hopfig zitronig, harzig. Geschmack ist sehr hopfig bitter, harzig, Pinien.","P´Castle, GERMANY","Beerhunter111"
2391,"2017-05-27",4.3,"Bottle @ home. Amber colour with a small white head. Smells very hoppy, floral, fruity, fresh. Pretty amazing. Tastes hops, fruity, fresh. This is a great brew. Love it. Medium body, nice carbo.","Oirschot, NETHERLANDS","DutchDrebus"
