"atmosphere","fbcount","fbscore","food","id","overall","reviewcount","selection","service"
"0","","","0","17129","0","0","0","0"
"0","","","0","13754","0","0","0","0"
"4.5","","","4.5","486","90","1","4.5","4.5"
"0","","","0","20013","0","0","0","0"
"0","","","0","6205","0","0","0","0"
"0","","","0","3818","0","0","0","0"
"0","","","0","6252","0","0","0","0"
"4.5","","","4","517","81.66665","1","4","3.75"
"4","","","4.375","8384","74.99995","2","3.5","3.75"
"0","","","0","15916","0","0","0","0"
"0","","","0","20653","0","0","0","0"
"0","","","0","12196","0","0","0","0"
"0","","","0","13882","0","0","0","0"
"0","","","0","10508","0","0","0","0"
"0","","","0","20658","0","0","0","0"
"0","","","0","18294","0","0","0","0"
"0","","","0","10764","0","0","0","0"
"0","","","0","11801","0","0","0","0"
"0","","","0","18843","0","0","0","0"
"0","","","0","12895","0","0","0","0"
"0","","","0","18148","0","0","0","0"
"0","","","0","19210","0","0","0","0"
"0","","","0","20651","0","0","0","0"
"0","","","0","13755","0","0","0","0"
"3.5","","","3.5625","12513","73.00005","5","3.9","3.55"
"0","","","0","11268","0","0","0","0"
"0","","","0","17860","0","0","0","0"
"0","","","0","4694","0","0","0","0"
"4","","","4.25","11734","86.6666","1","4","5"
"2","","","2.25","16774","40","1","2","2"
"0","","","0","15740","0","0","0","0"
"0","","","0","12197","0","0","0","0"
"0","","","0","13777","0","0","0","0"
"0","","","0","15917","0","0","0","0"
"0","","","0","19217","0","0","0","0"
"4.25","","","0","15089","85.8333","2","4.125","4.5"
"0","","","0","13844","0","0","0","0"
"0","","","0","18033","0","0","0","0"
"4.25","","","4.5","892","90","1","4.5","4.75"
"0","","","0","11556","0","0","0","0"
"0","","","0","10480","0","0","0","0"
"0","","","0","14777","0","0","0","0"
"0","","","0","17756","0","0","0","0"
"4.0714285714286","","","3.5833333333333","910","80.476228571428","7","4.2142857142857","3.7857142857143"
"0","","","0","17249","0","0","0","0"
"2.75","","","3.375","923","65.0000875","4","3.6875","3.3125"
"4.375","","","3.75","924","87.499975","2","4.25","4.5"
"0","","","0","936","0","0","0","0"
"0","","","0","16656","0","0","0","0"
"4.5","","","0","12302","93.3334","1","5","4.5"
"0","","","0","20165","0","0","0","0"
"0","","","0","9965","0","0","0","0"
"4.5833333333333","","","3.65","984","92.2223","6","5","4.25"
"0","","","0","20654","0","0","0","0"
"0","","","0","18100","0","0","0","0"
"0","","","0","20206","0","0","0","0"
"0","","","0","18601","0","0","0","0"
"0","","","0","19219","0","0","0","0"
"4","","","0","14332","85","1","4.25","4.5"
"0","","","0","18913","0","0","0","0"
"0","","","0","18706","0","0","0","0"
"0","","","0","20657","0","0","0","0"
"0","","","0","10349","0","0","0","0"
"4.5","","","4.4166666666667","1024","88.7499875","4","4.375","4.4375"
"0","","","0","19472","0","0","0","0"
"0","","","0","20652","0","0","0","0"
"0","","","0","19324","0","0","0","0"
"0","","","0","3819","0","0","0","0"
"3.75","","","0","1065","80","1","4","4.25"
"0","","","0","6571","0","0","0","0"
"4.25","","","3.5","1100","86.6667","1","4.5","4.25"
"0","","","0","10418","0","0","0","0"
"0","","","0","19605","0","0","0","0"
"4.2083333333333","","","4.15","6204","79.166633333334","6","3.7916666666667","3.875"
"0","","","0","19355","0","0","0","0"
"0","","","0","17662","0","0","0","0"
"0","","","0","18809","0","0","0","0"
"0","","","0","19655","0","0","0","0"
"4.5","","","3.875","11383","92.2222","3","4.5","4.8333333333333"
"0","","","0","20650","0","0","0","0"
"0","","","0","13753","0","0","0","0"
"0","","","0","20795","0","0","0","0"
"4","","","0","3815","86.6667","1","4.5","4.5"
"4.5","","","4.25","13031","90","1","4.5","4.5"
"0","","","0","20660","0","0","0","0"
"0","","","0","18994","0","0","0","0"
"0","","","0","18330","0","0","0","0"
"5","","","0","15657","100","1","5","5"
"0","","","0","17664","0","0","0","0"
"0","","","0","17043","0","0","0","0"
"0","","","0","16468","0","0","0","0"
"0","","","0","19130","0","0","0","0"
"4","","","3.5","16989","70.00015","1","4.25","2.25"
