id,brewery_id,altmap,lat,lng,map,name,status
122,3755,,32.284115,-110.977936,,BJ's Brewhouse - Tucson (Oracle Rd),Beer Bar
123,147,phoenix,33.299103,-111.898273,mountain,BJ's Restaurant and Brewery - Chandler,Brewpub
124,20662,,0,0,,,
125,19752,,0,0,,,
126,20661,,0,0,,,
127,20345,phoenix,33.426781,-111.940835,mountain,Blasted Barley Beer Co.,Brewpub
128,19213,phoenix,33.609811,-112.119194,mountain,Bold Barley Brewing,Brewery
129,16049,,0,0,,,
130,16938,,33.407561,-111.947525,phoenix,Boulders on Broadway,Beer Bar
131,9847,,32.253372,-110.943578,,Brew Your Own Brew,Homebrew
132,18331,,33.619645,-111.903462,,Brew Your Own Brew,Homebrew
133,11800,,33.378771,-111.821242,phoenix,Brew Your Own Brew Homebrewing Supplies,Homebrew
134,3813,,33.421864,-111.915466,phoenix,Brewers Connection,Homebrew
135,11501,,32.690785,-114.623588,,Burgers and Beer - Yuma,Beer Bar
136,20656,phoenix,33.421714,-111.942997,mountain,Cartel Brewery,Brewery
137,17897,,32.252544,-110.943746,,Cartel Coffee Lab,Beer Bar
138,16696,,33.494594,-111.989345,phoenix,Cave and Ives Portico Grill,Beer Bar
139,14917,,0,0,,,
140,18456,,33.447517,-112.074272,,Copper Blues,Beer Bar
141,13778,,33.364046,-111.875658,phoenix,"Cornish Pasty Co., The",Beer Bar
142,20659,,0,0,,,
143,10507,,33.51005,-112.014081,phoenix,Delux,Beer Bar
144,16773,phoenix,33.415305,-111.835914,mountain,Desert Eagle Brewing Company,Brewery
145,13780,,33.451431,-112.070106,phoenix,District American Kitchen and Wine Bar,Beer Bar
146,15330,,0,0,,,
147,13758,,33.446584,-111.963643,phoenix,Draw 10 Bar and Grill,Beer Bar
148,19215,phoenix,33.639765,-112.202207,mountain,Dubina Brewing Company,Brewery
149,13757,,33.457249,-112.07123,phoenix,Film Bar,Beer Bar
150,6714,,32.250695,-110.843698,,Firkin and Friar,Beer Bar
151,443,,0,0,,,
152,13751,,33.347827,-111.910257,phoenix,Flanny's Bar and Grill,Beer Bar
153,462,phoenix,33.419388,-111.916275,mountain,Four Peaks Brewing Company - Tempe,Brewpub
154,3348,,33.629289,-111.893477,phoenix,Four Peaks Grill and Tap,Beer Bar
155,17129,phoenix,33.563299,-112.258459,mountain,Freak'N Brewing Co,Brewery
156,13754,,33.523745,-112.048737,phoenix,"Garage Bar and Grill, The",Beer Bar
157,486,,0,0,,,
158,20013,phoenix,33.489778,-111.92635,mountain,Goldwater Brewing,Brewery
159,6205,phoenix,33.306861,-111.743525,mountain,Gordon Biersch - Gilbert,Brewpub
160,3818,phoenix,33.53617,-112.26392,mountain,Gordon Biersch - Glendale,Brewpub
161,6252,phoenix,33.655264,-111.926719,mountain,Gordon Biersch - Scottsdale,Brewpub
162,517,phoenix,33.426231,-111.940163,mountain,Gordon Biersch - Tempe,Brewpub
163,8384,,0,0,,,
164,15916,,0,0,,,
165,20653,,0,0,,,
166,12196,,33.485716,-112.362457,phoenix,Ground X Control,Beer Bar
167,13882,,33.415644,-111.553231,phoenix,"Handlebar Pub and Grill, The",Beer Bar
168,10508,,33.538288,-112.184627,phoenix,Haus Murphy's,Beer Bar
169,20658,phoenix,33.495322,-112.034809,mountain,Helton Brewing Co,Brewpub
170,18294,,0,0,,,
171,10764,,35.214082,-111.593336,,Homebrewers Outpost,Homebrew
172,11801,,33.870532,-112.127301,phoenix,Hops and Tannins,Homebrew
173,18843,,33.334549,-111.80486,,"House of Brews, The",Beer Bar
174,12895,,33.306329,-111.872815,phoenix,"Hungry Monk, The",Beer Bar
175,18148,phoenix,33.356773,-111.964864,mountain,Huss Brewing Company,Brewery
176,19210,,0,0,,,
177,20651,,0,0,,,
178,13755,,33.458196,-112.067689,phoenix,"Lost Leaf, The",Beer Bar
179,12513,,0,0,,,
180,11268,,33.363198,-111.911244,phoenix,Mac's Broiler and Tap,Beer Bar
181,17860,,33.425155,-111.93526,,Mad Hatter Brew Pub,Beer Bar
182,4694,,33.654875,-112.064128,phoenix,Magnum's Cigars Wine and Liquor,Beer Store
183,11734,,33.474605,-112.065107,phoenix,"Main Ingredient Ale House and Cafe, The",Beer Bar
184,16774,phoenix,33.581506,-111.92342,mountain,McFate Brewing Company,Brewpub
185,15740,,35.193719,-111.649575,,McGaughs Smoke and Bottle,Beer Store
186,12197,,33.712985,-112.111456,phoenix,Mellow Mushroom - Phoenix,Beer Bar
187,13777,,33.42263,-111.940813,phoenix,Mellow Mushroom - Tempe,Beer Bar
188,15917,,34.542811,-112.468495,,Mile Hi Brewing Supplies,Homebrew
189,19217,phoenix,33.457334,-112.064827,mountain,Mother Bunch Brewing,Brewpub
190,15089,,0,0,,,
191,13844,,33.536935,-112.047405,phoenix,Moto,Beer Bar
192,18033,,32.22815,-110.965874,,Mr. Head's Gallery,Beer Bar
193,892,,0,0,,,
194,11556,,34.476531,-114.344723,,Mudshark Pizza and Pasta,Beer Bar
195,10480,,33.302776,-111.842561,phoenix,Murphy's Law,Beer Bar
196,14777,,33.333873,-111.977793,phoenix,My Wine Cellar,Beer Bar
197,17756,,33.33134,-111.982708,,Nello's Ahwatukee,Beer Bar
198,910,,0,0,,,
199,17249,phoenix,33.567919,-112.066398,mountain,North Mountain Brewing Company,Brewpub
200,923,,0,0,,,
201,924,,0,0,,,
202,936,,33.667019,-112.231949,phoenix,Oggi's Pizza and Brewing Co. - Glendale,Beer Bar
203,16656,phoenix,33.495018,-111.975898,mountain,OHSO Eatery and nanoBrewery,Brewpub
204,12302,,0,0,,,
205,20165,,32.878128,-111.752586,,Old Town Ale House,Beer Bar
